Sample,S1,S2,S3,S4,S5,S6,S7,S8,E12,Material
2021_Aug_30_SR-3501_SN19387Q4__00027.sed,8.044953570261091,8.575542415440802,8.308817773360914,8.54273551058279,9.251021617912532,8.927175550110675,7.936217611211917,6.414139931458672,127.16829163737438,1.0
4116,8.463570220509586,9.000760353422443,8.679756432768553,8.904214501676982,9.654673808148486,9.330430607218783,8.359574277417337,6.8083240260592,131.40049613522012,7.0
1400,8.415325315842592,8.947744511552733,8.632373397247939,8.861405789366664,9.602002908910348,9.284254039202555,8.309942678114815,6.771676734687002,130.80411663045945,7.0
5321,8.51742351660868,9.075567455644698,8.768120011006395,9.008625045936062,9.768870962193436,9.442332821222056,8.408744507674275,6.880319901421525,132.96265083483257,7.0
5361,6.879970216839308,7.333679044289451,7.1048350916046825,7.286915293233844,7.894061097130216,7.640039654306683,6.801883337400527,5.529498067366764,108.12708751720719,7.0
5252,8.356102012752771,8.897264010228398,8.592538557537434,8.828357741248535,9.571527963758252,9.251717261653893,8.238764294650535,6.742249429347411,130.37210890849101,2.0
2994,7.648976099395439,8.081651617026633,7.725685477942184,7.831646554847905,8.514532540750725,8.171592573019216,7.502677693969838,6.009549575175532,116.56298581624245,8.0
3812,8.672201615387959,9.231541120752912,8.914424203899095,9.16245729811263,9.931618143759938,9.614458331332262,8.57159466392783,7.025630562618993,134.9271726533709,9.0
2067,7.466238386738525,7.991490364734589,7.697142575132872,7.832768640565818,8.548964591117308,8.12577259737657,7.292547987821056,5.871389735294551,117.11071807278843,8.0
309,5.486677034524305,5.881312578672259,5.6504239561395995,5.788820194262029,6.2470540434789825,6.055752452366026,5.442742632795972,4.352904411759455,86.89325851811475,2.0
2021_Sep_01_SR-3501_SN19387Q4__00418.sed,8.235697280463521,8.78778487073691,8.494725449141486,8.71244657463344,9.450035396651483,9.117786874280688,8.115561948535754,6.616979456883349,129.04824705902587,5.0
2021_Sep_01_SR-3501_SN19387Q4__00066.sed,8.68158896168895,9.240856631535692,8.92153211843079,9.169060533403831,9.93891877645624,9.622476211682736,8.579478123569682,7.037425388960073,134.99664339682877,4.0
1018,6.468201300879597,6.94834467542653,6.710328458094949,6.885074956417583,7.465084624230357,7.204334607605396,6.355301382565455,5.225838060791817,102.66991582370517,8.0
2021_Sep_01_SR-3501_SN19387Q4__00913.sed,7.544517410750613,8.137714518783074,7.921313938985874,8.15857408018987,8.939297965042504,8.461141547344969,7.401510388594901,5.915707830672075,122.51681448244312,6.0
4219,7.142947585391238,7.619341994446396,7.3769999629057095,7.570030215429722,8.195499400000164,7.928186037629715,7.055504997607415,5.738477704065499,112.27719939153172,7.0
5073,8.62689892409412,9.18047178120445,8.862443627138411,9.105267474754935,9.87124443377092,9.551385823153609,8.52294115952887,6.981407437251543,134.12171561534942,9.0
3586,7.663006525827366,8.184983788968601,7.902063350060635,8.104869127719295,8.803428863419875,8.459227495468246,7.492467724637138,6.122610910359723,120.72569172430634,8.0
4207,7.663813116278921,8.187358066562224,7.909119806889553,8.110649649389325,8.80899403795328,8.465697473567886,7.497054418240642,6.1200277717903555,120.94513158084573,8.0
5318,8.506858024333164,9.064955068281009,8.759418697139008,9.000156880244326,9.759185386843555,9.432175192012792,8.399312403635586,6.869176768031732,132.8787598878088,7.0
1321,8.392582242839124,8.949884252871081,8.646783261594374,8.878698706357632,9.634298197489848,9.298699396901267,8.274110747277454,6.766801418306602,131.2449661284674,2.0
2021_Aug_30_SR-3501_SN19387Q4__00175.sed,7.203304380819455,7.784628178033203,7.561019231543337,7.7342121141194395,8.462353774330253,7.985461062425149,7.011884538424948,5.633421416782452,116.55495504263374,1.0
5075,8.602300595979509,9.159400266557,8.842350779734533,9.084105618610728,9.851245407945193,9.526816282885637,8.496090256077686,6.9602078232224045,133.84887555767034,9.0
2021_Aug_31_SR-3501_SN19387Q4__00171.sed,7.103439420181431,7.707574373534933,7.455145336569179,7.572443259094378,8.33114338679028,7.826734769443464,6.862982462176124,5.606474577601727,113.1973539212141,2.0
569,7.953312096948685,8.42694647704079,8.08276954289966,8.270095230169648,8.95319338205736,8.735260495214142,7.907712554229864,6.530062499256748,121.15715508539957,9.0
