Sample,red,green,blue,black,Material,Predicted_Label
2021_Aug_31_SR-3501_SN19387Q4__00505.sed,57.82628489927494,42.081720301798576,37.98789824478127,110.79341243575372,3.0,3
2021_Sep_01_SR-3501_SN19387Q4__00417.sed,57.26294712996821,41.5716386353574,37.44930247294018,109.3247301684809,5.0,5
1969,57.68938753527173,41.86919014834047,37.63968195738235,110.12310515560743,7.0,7
4294,58.68357674147299,42.65233500141019,38.42208599856448,112.46406740536727,7.0,7
2021_Sep_01_SR-3501_SN19387Q4__00906.sed,54.71634304701166,39.12180298237159,35.004426837426024,101.30596969384644,6.0,6
3834,55.984612606825934,40.62212877491639,36.503605535348726,106.70841059429178,2.0,2
2021_Aug_31_SR-3501_SN19387Q4__00640.sed,58.54670092299971,42.56805243319938,38.432496612633216,112.10513352352416,3.0,3
3688,47.86734371070151,34.73184799156478,31.266582508206856,91.48814535700788,2.0,2
2021_Sep_01_SR-3501_SN19387Q4__00797.sed,58.85815700517401,42.60713782409141,38.27705414174133,112.15122211040702,6.0,6
2021_Sep_01_SR-3501_SN19387Q4__01029.sed,49.671126352555305,35.817017788149656,32.63867858490893,91.18010995477388,6.0,6
936,58.5370010601263,42.56836212749492,38.38417339615472,112.44539548853568,9.0,9
2204,56.78580267939584,41.39906784196075,37.61881881939265,109.793326026283,2.0,2
2021_Aug_30_SR-3501_SN19387Q4__00192.sed,55.02542285426596,39.5907171116619,35.58576351619095,102.75516972045725,1.0,1
2021_Sep_01_SR-3501_SN19387Q4__00226.sed,59.611307675557,43.38667539995659,39.1712749717928,114.62509811368808,4.0,4
2021_Sep_01_SR-3501_SN19387Q4__00442.sed,57.90128279739924,42.01153922436595,37.86706971355624,110.43188435301532,5.0,5
5269,44.57134548542189,32.128866277371216,29.01635288240267,84.43415893289774,8.0,8
4436,57.415896734393264,41.70441234965223,37.54504517140072,109.92566228813158,2.0,2
2489,55.56488828629204,40.29687900889883,36.23742808407427,105.38023072949646,8.0,8
2852,58.54554148055391,42.5955446296874,38.5493819702471,112.4307023050973,7.0,7
4163,45.78542742485576,33.04092034902104,29.85722617826244,86.88820357083146,8.0,8
1278,59.28804554491771,43.1452436223972,38.956319804579735,114.0392032618806,9.0,9
5260,58.485993683243706,42.523333713963744,38.347445131369184,112.06809621639051,2.0,2
673,44.35861276207578,32.109044822333736,29.4352825456394,86.79200747792005,2.0,2
4070,58.2860371253006,42.43991907246544,38.41975931484916,112.4135767270058,9.0,9
2267,59.52948933394441,43.33093206033029,39.14141248184101,114.55284050696338,9.0,9
4682,50.573240123583766,36.40886650576056,32.37324260886895,94.88975702749138,7.0,7
3977,33.357394796441824,24.098886343749307,22.584474348577807,65.68093302917477,8.0,8
2021_Aug_30_SR-3501_SN19387Q4__00057.sed,57.77569849975236,41.77510745024552,37.45307685173016,109.63019714569762,1.0,1
2021_Aug_31_SR-3501_SN19387Q4__00531.sed,58.37890084911105,42.44021672933081,38.31669022582773,111.7063855600663,3.0,3
2094,51.02297726765403,37.29906015099405,34.38953447905056,98.66914747608266,8.0,8
2021_Aug_31_SR-3501_SN19387Q4__00488.sed,57.51962322282739,41.86267851753307,37.78801700607984,110.30654070255088,3.0,3
4880,47.1003488272174,34.40711361521831,32.04102592312154,92.0701130417996,8.0,8
580,29.526711497676345,20.82691560780284,18.54561890761482,54.15304597498408,8.0,8
4800,57.80490229530706,42.055580840806,38.06427205425909,110.95793728555624,7.0,7
427,45.26935520404033,32.593045699573004,28.948729363081227,87.17176354371662,4.0,4
4450,57.92134011950364,42.10544135388906,37.9451368635537,110.9200888996099,2.0,2
705,52.17667340873685,37.92600085792344,34.61002405906304,102.83577089143203,9.0,9
4828,57.9158933325391,42.15058825640152,38.13975649802549,111.26173325597932,7.0,7
4397,57.43666371027976,41.78207539766576,37.72361184929083,110.383408158133,9.0,9
1368,47.95336988379759,35.068324562574354,32.633005211778325,93.86426712451488,8.0,8
437,47.00125219444932,34.03320049564165,30.451018281322938,91.12947626105895,4.0,4
